taxonomy [%],taxa [%],GSP T0,So-Sp T0,Sp T0,So T0
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosarchaeum;Nitrosoarchaeum koreensis,Nitrosoarchaeum koreensis,0,0,0.098417549,0.023983691
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosotenuis;Nitrosotenuis sp.,Nitrosotenuis sp.,0,0,0.012949678,0
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;Nitrososphaera viennensis,Nitrososphaera viennensis,0.012151037,0.018792283,0.095827614,0.053963305
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrosocosmicus;Nitrosocosmicus oleophilus,Nitrosocosmicus oleophilus,1.21206598,0.895765472,0.88834788,0.851421034
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrosocosmicus;Nitrosocosmicus sp.,Nitrosocosmicus sp.,0.681065646,0.651465798,0.271943229,0.209857297
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;Nitrososphaera sp.,Nitrososphaera sp.,0.081411951,0.131545978,0.515397167,0.257824679
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;Methanosphaera cuniculi,Methanosphaera cuniculi,0.004860415,0,0,0
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus thermophilus,Methanoculleus thermophilus,0.004252863,0,0,0
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina thermophila,Methanosarcina thermophila,0.052249461,0,0.077698065,0.017987768
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;Abditibacterium sp.,Abditibacterium sp.,0.196239254,0,0.007769807,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Acidipila-Silvibacterium;Acidipila rosea,Acidipila rosea,0.004252863,0,0.018129549,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Edaphobacter;Edaphobacter sp.,Edaphobacter sp.,0.006075519,0.100225507,0,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;Granulicella sp.,Granulicella sp.,0.011543486,0,0,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;Terriglobus sp.,Terriglobus sp.,0.001822656,0,0,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Koribacter;Koribacter sp.,Koribacter sp.,0.025517179,0,0.015539613,0.071951073
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;Bryobacter sp.,Bryobacter sp.,0.603906559,0.538712102,0.613814716,0.833433265
Bacteria;Acidobacteriota;Acidobacteriae;Incertae-sedis;Incertae-sedis;Paludibaculum;Paludibaculum sp.,Paludibaculum sp.,0.003037759,0,0.02330942,0
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Solibacter;Solibacter sp.,Solibacter sp.,0.203529876,0.250563768,0.520577038,0.413718671
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter;Aridibacter sp.,Aridibacter sp.,0.051641909,0.068905036,0.095827614,0.095934764
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;Blastocatella sp.,Blastocatella sp.,0.042528631,0.056376848,0.033669162,0.10792661
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;Stenotrophobacter sp.,Stenotrophobacter sp.,0.177405146,0.250563768,1.056693688,0.233840988
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;Stenotrophobacter terrae,Stenotrophobacter terrae,0.0164039,0.050112754,0.088057807,0.077946996
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;Arenimicrobium luteum,Arenimicrobium luteum,0.386402989,0.169130544,0.101007485,0.029979614
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;Brevitalea deliciosa,Brevitalea deliciosa,0.003645311,0.031320471,0.010359742,0
Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp.,Holophaga sp.,0,0,0.020719484,0.083942919
