taxonomy [copies/gr],taxa [copies/gr],DTN00I,DTN00J,DTN00K,DTN00L
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosarchaeum;Nitrosoarchaeum koreensis,Nitrosoarchaeum koreensis,0,0,1294552,120643
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosotenuis;Nitrosotenuis sp.,Nitrosotenuis sp.,0,0,170334,0
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;Nitrososphaera viennensis,Nitrososphaera viennensis,242164,1008269,1260483,271443
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrosocosmicus;Nitrosocosmicus oleophilus,Nitrosocosmicus oleophilus,24155818,48060762,11685028,4282783
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrosocosmicus;Nitrosocosmicus sp.,Nitrosocosmicus sp.,13573268,34953283,3577048,1055617
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;Nitrososphaera sp.,Nitrososphaera sp.,1622496,7057876,6779362,1296900
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;Methanosphaera cuniculi,Methanosphaera cuniculi,96864,0,0,0
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus thermophilus,Methanoculleus thermophilus,84757,0,0,0
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina thermophila,Methanosarcina thermophila,1041304,0,1022014,90480
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;Abditibacterium sp.,Abditibacterium sp.,3910943,0,102200,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Acidipila-Silvibacterium;Acidipila rosea,Acidipila rosea,84757,0,238469,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Edaphobacter;Edaphobacter sp.,Edaphobacter sp.,121082,5377428,0,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;Granulicella sp.,Granulicella sp.,230057,0,0,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;Terriglobus sp.,Terriglobus sp.,36325,0,0,0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Koribacter;Koribacter sp.,Koribacter sp.,508543,0,204403,361927
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;Bryobacter sp.,Bryobacter sp.,12035529,28903676,8073910,4192303
Bacteria;Acidobacteriota;Acidobacteriae;Incertae-sedis;Incertae-sedis;Paludibaculum;Paludibaculum sp.,Paludibaculum sp.,60539,0,306603,0
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Solibacter;Solibacter sp.,Solibacter sp.,4056239,13443569,6847493,2081070
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter;Aridibacter sp.,Aridibacter sp.,1029196,3696983,1260483,482567
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;Blastocatella sp.,Blastocatella sp.,847571,3024803,442872,542887
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;Stenotrophobacter sp.,Stenotrophobacter sp.,3535589,13443569,13899393,1176257
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;Stenotrophobacter terrae,Stenotrophobacter terrae,326921,2688714,1158283,392087
